gene,p-value-1,p-value-2,p-value-3,p-value-4,p-value-5
ANKRD20A4,0.00990099009901,0.00990099009901,0.00990099009901,0.00990099009901,0.00990099009901
CHTF18,0.00990099009901,0.019801980198,0.029702970297,0.019801980198,0.039603960396
MYO7B,0.049504950495,0.049504950495,0.019801980198,0.039603960396,0.019801980198
NEB,0.019801980198,0.049504950495,0.029702970297,0.00990099009901,0.00990099009901
PDE4DIP,0.00990099009901,0.019801980198,0.00990099009901,0.00990099009901,0.019801980198
SPG7,0.049504950495,0.039603960396,0.039603960396,0.029702970297,0.049504950495
SPTBN2,0.019801980198,0.00990099009901,0.019801980198,0.029702970297,0.029702970297
